,yearpublished,totalvotes,numwanting,news,blogs,weblink,podcast
0,400,66,51,1,28,54,4
1,500,4,5,0,2,4,0
2,550,7,1,0,3,19,2
3,600,4,0,0,0,3,0
4,650,1,9,0,3,4,0
5,700,56,12,0,41,55,6
6,762,22,44,0,16,21,1
7,1000,11,17,0,2,18,0
8,1125,3,2,0,4,2,0
9,1150,83,0,0,54,28,3
10,1300,5,8,0,3,6,1
11,1375,0,1,0,0,2,0
12,1400,19,6,0,9,14,1
13,1425,13,0,0,3,7,0
14,1430,21,7,0,11,15,0
15,1475,309,28,0,270,66,25
16,1500,72,7,0,44,25,3
17,1530,33,2,0,11,13,0
18,1534,3,2,0,24,10,0
19,1550,8,0,0,6,2,1
20,1587,34,53,0,72,50,3
21,1600,35,12,1,23,17,2
22,1630,107,11,0,124,18,10
23,1663,5,1,0,8,4,0
24,1680,6,8,1,3,13,0
25,1687,14,1,0,7,6,2
26,1700,15,5,0,22,12,2
27,1701,8,10,1,17,13,4
28,1715,11,6,0,33,11,0
29,1741,0,0,0,0,1,0
30,1742,0,1,0,0,1,0
31,1745,23,11,0,0,5,0
32,1750,15,0,0,4,14,1
33,1755,2,0,0,0,2,0
34,1775,7,6,0,1,1,0
35,1780,24,5,0,39,3,0
36,1783,8,5,0,8,10,1
37,1796,11,4,0,8,5,0
38,1800,201,127,2,169,72,13
39,1801,2,7,0,3,1,0
40,1802,5,1,0,0,6,0
41,1803,3,2,0,1,3,0
42,1810,139,17,0,86,20,3
43,1819,1,1,0,0,1,0
44,1822,0,1,0,0,1,0
45,1824,3,14,0,0,4,1
46,1830,13,0,0,25,3,0
47,1840,3,5,0,0,1,0
48,1848,44,3,0,44,6,0
49,1850,173,62,0,81,46,12
50,1851,3,2,0,2,2,0
51,1855,6,0,0,2,6,0
52,1860,3,2,0,0,3,0
53,1861,1,3,0,1,8,0
54,1864,32,4,0,7,6,2
55,1866,2,3,0,1,1,0
56,1870,11,23,0,4,16,1
57,1874,17,1,0,8,11,2
58,1881,9,8,0,2,4,0
59,1883,61,14,0,44,50,3
60,1884,5,3,0,5,10,0
61,1885,8,3,1,5,3,1
62,1887,25,3,0,26,15,1
63,1888,3,5,0,4,13,0
64,1889,20,8,0,4,7,1
65,1890,12,11,0,2,19,0
66,1892,1,4,0,4,3,0
67,1893,69,5,0,12,13,2
68,1895,26,11,1,1,2,0
69,1898,0,3,0,0,0,0
70,1900,3,3,0,0,0,0
71,1903,81,78,0,61,33,9
72,1904,27,2,0,2,2,1
73,1906,27,6,0,7,18,1
74,1908,60,13,0,47,18,4
75,1909,22,6,0,19,6,4
76,1910,1,3,0,2,2,1
77,1911,10,20,1,3,21,0
78,1913,1,6,1,1,8,0
79,1915,5,4,0,3,6,0
80,1916,6,6,0,2,2,1
81,1919,1,3,0,1,1,0
82,1920,6,6,0,0,1,0
83,1921,15,7,0,2,2,0
84,1925,8,2,0,0,6,0
85,1927,11,5,0,4,17,2
86,1929,41,15,0,29,8,7
87,1930,55,27,1,32,44,5
88,1931,82,5,0,27,25,7
89,1932,8,18,0,1,4,1
90,1933,227,18,11,218,75,35
91,1934,4,1,0,0,4,0
92,1935,6,1,0,0,11,2
93,1936,9,3,0,1,7,0
94,1937,21,33,0,5,6,2
95,1938,42,42,0,24,8,9
96,1939,31,8,0,11,10,1
97,1940,25,13,0,12,9,0
98,1941,5,10,0,1,4,0
99,1942,21,25,0,35,32,0
100,1943,18,7,1,3,26,1
101,1944,0,0,0,0,0,0
