,max_community
0,4.0
1,4.0
2,4.0
3,4.0
4,4.0
5,6.0
6,2.0
7,2.0
8,4.0
9,5.0
10,4.0
11,2.0
12,4.0
13,5.0
14,4.0
15,2.0
16,3.0
17,5.0
18,4.0
19,6.0
20,2.7397818220409382
21,5.0
22,4.0
23,3.0
25,5.0
26,4.0
27,5.0
28,5.0
29,5.0
30,5.119913161154943
31,4.0
32,4.0
33,6.0
34,4.0
35,4.0
36,5.0
37,4.0
38,4.0
39,6.0
40,4.0
41,4.0
42,5.0
43,4.0
44,4.0
45,4.0
46,2.0
47,4.0
48,7.0
49,4.0
50,6.0
51,6.0
52,2.0
53,5.0
54,5.0
55,4.0
56,4.0
57,4.0
58,7.500044500268948
59,5.0
60,5.234253218747325
61,6.0
62,4.0
63,4.0
64,6.0
65,7.473271667790937
66,4.0
67,2.0
68,4.0
69,4.0
71,4.0
72,4.0
73,4.0
74,5.0
75,4.0
76,4.0
77,4.0
78,4.0
79,5.0
80,4.0
81,4.0
82,4.0
83,3.0
84,4.0
85,5.0
86,2.8249328045951962
87,5.0
88,4.0
89,4.0
90,5.0
91,3.0
92,4.0
93,4.0
94,4.0
95,5.0
96,4.0
97,4.0
98,2.8249328045951962
99,5.0
100,4.0
101,4.0
102,5.0
103,4.0
104,6.0
105,4.0
106,10.0
107,5.0
108,4.0
109,4.0
110,8.0
111,6.0
112,4.0
113,4.0
114,2.0
115,4.0
116,5.0
117,4.0
118,2.7397818220409382
119,4.0
120,2.0
121,5.0
122,5.0
123,6.0
124,4.0
125,2.0
126,2.0
128,4.0
129,6.352554321989075
130,8.0
131,4.0
132,2.0
133,4.0
134,4.0
135,4.0
136,2.0
137,4.0
138,3.0
139,3.0
140,4.0
141,4.0
142,2.0
143,4.0
145,4.0
146,4.0
147,4.0
148,4.0
149,4.0
150,6.0
153,5.0
154,5.0
156,5.0
157,2.8249328045951962
158,5.0
159,5.0
160,5.0
161,4.0
162,5.0
163,4.0
164,4.0
165,4.0
166,2.0
167,8.0
168,3.0
169,6.0
170,12.0
171,5.0
173,4.0
174,4.0
175,10.0
176,5.0
177,6.0
178,4.0
179,4.0
180,4.0
181,4.0
182,2.0
183,5.149102236193067
184,4.0
185,5.0
