,name,max_community
0,Town of Salem  The Card Game,31.0
1,Nomic,31.0
2,Brouhaha,31.0
3,TieBreaker,31.0
4,Start Player  A Kinda Collectible Card Game,31.0
5,The Metagame,31.0
6,Wings of Glory  Tripods & Triplanes,31.0
7,Penny Papers Adventures  Skull Island,31.0
8,Bingo,31.0
9,ZnajZnak,31.0
10,March Madness,31.0
11,Haggle,31.0
12,Start Player,31.0
13,Killer,31.0
14,Welcome To DinoWorld,31.0
15,Ultimate Werewolf  Deluxe Edition,27.0
16,Ultimate Werewolf  Ultimate Edition,27.0
17,The Last Banquet,25.0
18,Lupus in Tabula,24.0
19,Wherewolf,24.0
20,WitchHunt,22.0
21,Fox & Chicken,21.0
22,Crazy Dancing,21.0
23,Ultimate Werewolf  Whitebox Edition,21.0
24,Wings of Glory  WW2 Battle of Britain Starter Set,20.0
25,Act One,20.0
26,Ricochet Robots,20.0
27,Ca$h 'n Gun$  Live,20.0
28,Do You Worship Cthulhu,19.0
29,Mafia,19.0
