,name,num_rating,avg_rating,boardgamepublisher,boardgamecategory
0,Arena  The Contest,308,9.20079,Dragori Games,"Dice,Fantasy,Fighting,Medieval,Miniatures"
1,Tainted Grail  The Fall of Avalon,2019,8.99553,"Awaken Realms, CrowD Games, Maldito Games, Summon Games","Adventure,Exploration,Fantasy,Mature / Adult,Medieval,Mythology"
2,Aeon's End  The New Age,594,8.94795,"Action Phase Games, Indie Boards & Cards","Card Game,Fantasy,Science Fiction"
3,Clank! Legacy  Acquisitions Incorporated,601,8.90569,"Dire Wolf Digital, Penny Arcade, Renegade Game Studios",Fantasy
4,Too Many Bones  Undertow,1044,8.860439999999999,Chip Theory Games,"Adventure,Dice,Fantasy,Fighting"
5,Gloomhaven,31254,8.85292,"Cephalofair Games, Albi, Asmodee, Feuerland Spiele'
 ' Games Warehouse, Gu00e9m Klub Kft.","Adventure,Exploration,Fantasy,Fighting,Miniatures"
6,Kingdom Death  Monster,6616,8.73827,Kingdom Death,"Adventure,Fantasy,Horror,Mature / Adult,Miniatures,Mythology"
7,1817,336,8.72172,"All-Aboard Games, Deep Thought Games","Economic,Trains,Transportation"
8,Enemy Action  Ardennes,359,8.69125,Compass Games,"Wargame,World War II"
9,Twilight Imperium (Fourth Edition,9401,8.68965,"Fantasy Flight Games, ADC Blackfire Entertainment, Arclight'
 ' Asmodee, Asterion Press, Edge Entertainment","Civilization,Economic,Negotiation,Political,Science Fiction,Space Exploration"
10,Shadows of Brimstone  Forbidden Fortress,306,8.6656,Flying Frog Productions,"Adventure,Exploration,Fantasy,Fighting,Horror,Miniatures"
11,Pandemic Legacy  Season 1,34729,8.624989999999999,"Z-Man Games, Asterion Press, Devir, Filosofia u00c9ditions'
 ' Gu00e9m Klub Kft., Hobby Japan","Environmental,Medical"
12,Brass  Birmingham,10070,8.62031,"Roxley, BoardM Factory, Conclave Editora, CrowD Games, Funforge'
 ' Ghenos Games","Economic,Industry / Manufacturing,Transportation"
13,Here I Stand (500th Anniversary Reprint Edition,350,8.61355,"Ergo Ludo Editions, GMT Games","Negotiation,Political,Religious,Renaissance,Wargame"
14,Cloudspire,750,8.574589999999999,Chip Theory Games,"Exploration,Fantasy,Video Game Theme"
15,Mythic Battles  Pantheon,2206,8.54641,"Monolith, Mythic Games","Ancient,Card Game,Dice,Fighting,Miniatures,Mythology"
16,Darklight  Memento Mori,414,8.54234,Dark Ice Games,"Exploration,Fantasy,Fighting,Miniatures"
17,Crusade and Revolution  The Spanish Civil War,314,8.51939,"4Dados, Compass Games","Civil War,Wargame,World War II"
18,Exceed Fighting System,256,8.5168,Level 99 Games,"Fantasy,Fighting,Horror,Video Game Theme"
19,Gaia Project,12010,8.506860000000001,"Feuerland Spiele, Cranio Creations, DiceTree Games'
 ' Edge Entertainment, Game Harbor, Games Factory","Civilization,Economic,Science Fiction,Space Exploration,Territory Building"
20,Through the Ages  A New Story of Civilization,18269,8.49419,"Czech Games Edition, Cranio Creations, Devir, DiceTree Games'
 ' Eagle-Gryphon Games, GaGa Games","Card Game,Civilization,Economic"
21,Aeon's End  War Eternal,2181,8.48219,"Action Phase Games, Indie Boards & Cards, Portal Games","Card Game,Fantasy,Science Fiction"
22,Too Many Bones,3873,8.48024,"Chip Theory Games, Gameland u6e38u620fu5927u9646","Adventure,Dice,Fantasy"
